district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta
chhota udaipur,gujarat,2025.0,5.0,117.45,3.7887096774193543,31.37709677419355,3,0,200.0,1,-2.001241191213325
chhota udaipur,gujarat,2025.0,6.0,266.96,8.898666666666665,30.108,3,0,200.0,1,0.5845294117647057
chhota udaipur,gujarat,2025.0,7.0,279.56,9.018064516129032,27.18064516129032,3,0,200.0,1,5.352603686635945
chhota udaipur,gujarat,2025.0,8.0,212.52,6.855483870967742,26.94225806451613,3,0,200.0,1,3.84863440860215
chhota udaipur,gujarat,2025.0,9.0,234.73,7.824333333333333,26.19,3,0,200.0,1,2.017233333333333
chhota udaipur,gujarat,2025.0,10.0,129.70999999999998,4.184193548387096,25.04032258064516,3,0,200.0,1,-2.280545161290324
chhota udaipur,gujarat,2025.0,11.0,10.88,0.3626666666666667,20.848666666666663,3,0,200.0,1,-2.549547146401986
chhota udaipur,gujarat,2025.0,12.0,0.0,0.0,19.70967741935484,3,0,200.0,1,-2.4748076923076923
dang,gujarat,2023.0,11.0,42.76,1.4253333333333331,24.183666666666667,5,0,43.63,3,5.798166666666667
dang,gujarat,2023.0,12.0,1.05,0.0338709677419354,22.62741935483871,5,0,43.63,3,-0.3699731182795744
dang,gujarat,2024.0,1.0,0.43,0.0138709677419354,22.68516129032258,5,0,43.63,3,-0.1072580645161238
dang,gujarat,2024.0,2.0,0.14,0.0048275862068965,25.04344827586207,5,0,43.63,3,-0.4652113459399345
dang,gujarat,2024.0,3.0,0.14,0.004516129032258,27.491935483870968,5,0,43.63,3,0.3055339265850918
dang,gujarat,2024.0,4.0,1.12,0.0373333333333333,31.806,5,0,43.63,3,0.0827419354838738
dang,gujarat,2024.0,5.0,6.77,0.2183870967741935,33.284193548387094,5,0,43.63,3,0.1358064516129005
dang,gujarat,2024.0,6.0,153.29,5.109666666666667,29.956000000000003,5,0,43.63,3,0.2141935483870973
dang,gujarat,2024.0,7.0,588.53,18.98483870967742,26.36870967741936,5,0,43.63,3,0.1704838709677432
dang,gujarat,2024.0,8.0,411.81,13.284193548387098,25.75,5,0,43.63,3,0.3548387096774199
dang,gujarat,2024.0,9.0,374.19,12.473,25.204,5,0,43.63,3,0.1805107526881713
dang,gujarat,2024.0,10.0,88.16,2.843870967741936,25.666129032258063,5,0,43.63,3,-0.1280913978494666
dang,gujarat,2024.0,11.0,0.0,0.0,21.511000000000003,5,0,43.63,3,-0.0785752688172038
dang,gujarat,2024.0,12.0,6.0,0.1935483870967742,20.85903225806452,5,0,43.63,3,-0.474086021505375
dang,gujarat,2025.0,1.0,0.0,0.0,22.65935483870968,5,0,43.63,3,-29.01253347534997
dang,gujarat,2025.0,2.0,0.0,0.0,25.831071428571427,5,0,43.63,3,-0.0937508735150247
dang,gujarat,2025.0,3.0,0.0,0.0,28.933225806451613,5,0,43.63,3,-0.1576672640382317
dang,gujarat,2025.0,4.0,0.79,0.0263333333333333,31.639333333333333,5,0,43.63,3,-0.1119911012235816
dang,gujarat,2025.0,5.0,106.84,3.446451612903226,29.40322580645161,5,0,43.63,3,0.3874749721913235
dang,gujarat,2025.0,6.0,308.32,10.277333333333331,28.045333333333332,5,0,43.63,3,0.4349388209121247
dang,gujarat,2025.0,7.0,331.26,10.685806451612905,25.83,5,0,43.63,3,0.1267547274749723
dang,gujarat,2025.0,8.0,239.27,7.718387096774194,25.513870967741937,5,0,43.63,3,-0.1012903225806449
dang,gujarat,2025.0,9.0,276.33,9.211,24.95633333333333,5,0,43.63,3,0.1214838709677414
dang,gujarat,2025.0,10.0,112.45,3.6274193548387097,24.677419354838708,5,0,43.63,3,-0.3353548387096774
dang,gujarat,2025.0,11.0,5.58,0.186,21.26,5,0,43.63,3,-0.0382472021066488
devbhumi dwarka,gujarat,2024.0,3.0,3.31,0.1067741935483871,26.22258064516129,2,0,186.56,3,6.457385839966491
devbhumi dwarka,gujarat,2024.0,4.0,2.15,0.0716666666666666,30.383333333333333,2,0,186.56,3,9.315177688172028
devbhumi dwarka,gujarat,2024.0,5.0,2.31,0.074516129032258,32.90806451612903,2,0,186.56,3,11.987564247311823
devbhumi dwarka,gujarat,2024.0,6.0,84.18,2.806,32.34766666666666,2,0,186.56,3,-1.2829975806451444
devbhumi dwarka,gujarat,2024.0,7.0,685.3,22.106451612903225,28.864193548387096,2,0,186.56,3,3.484449193548386
devbhumi dwarka,gujarat,2024.0,8.0,577.87,18.640967741935484,27.37483870967742,2,0,186.56,3,-10.656935483870967
devbhumi dwarka,gujarat,2024.0,9.0,97.36,3.2453333333333334,27.012666666666668,2,0,186.56,3,4.473244623655916
devbhumi dwarka,gujarat,2024.0,10.0,64.06,2.0664516129032258,27.137096774193548,2,0,186.56,3,4.204529569892458
devbhumi dwarka,gujarat,2024.0,11.0,0.0,0.0,23.309666666666665,2,0,186.56,3,1.918728763440868
devbhumi dwarka,gujarat,2024.0,12.0,0.0,0.0,18.260322580645163,2,0,186.56,3,-0.5070916666666676
devbhumi dwarka,gujarat,2025.0,1.0,0.0,0.0,20.101290322580645,2,0,186.56,3,-0.7799919354838636
devbhumi dwarka,gujarat,2025.0,2.0,0.0,0.0,24.1325,2,0,186.56,3,0.1966705069124401
devbhumi dwarka,gujarat,2025.0,3.0,0.05,0.0016129032258064,27.84225806451613,2,0,186.56,3,0.5812730414746596
devbhumi dwarka,gujarat,2025.0,4.0,0.0,0.0,31.264666666666667,2,0,186.56,3,0.8248233870967567
devbhumi dwarka,gujarat,2025.0,5.0,37.38,1.205806451612903,32.23903225806451,2,0,186.56,3,0.077033823529419
devbhumi dwarka,gujarat,2025.0,6.0,319.86,10.662,30.311333333333334,2,0,186.56,3,-0.0108088235294161
devbhumi dwarka,gujarat,2025.0,7.0,210.72,6.79741935483871,27.82774193548387,2,0,186.56,3,-0.1086071428571244
devbhumi dwarka,gujarat,2025.0,8.0,322.94,10.41741935483871,27.370645161290323,2,0,186.56,3,0.6736635944700282
devbhumi dwarka,gujarat,2025.0,9.0,144.02,4.800666666666667,26.930666666666664,2,0,186.56,3,0.5544035483871141
devbhumi dwarka,gujarat,2025.0,10.0,70.42999999999999,2.2719354838709678,25.794838709677418,2,0,186.56,3,0.2375588172042739
diu,gujarat,2024.0,1.0,0.01,0.0003225806451612,24.596451612903227,2,0,20.0,1,-1.5665172955974835
diu,gujarat,2024.0,2.0,0.1,0.0034482758620689,25.103793103448275,2,0,20.0,1,-2.234640804597701
diu,gujarat,2024.0,3.0,4.82,0.1554838709677419,25.91967741935484,2,0,20.0,1,-2.816758004926108
diu,gujarat,2024.0,4.0,0.15,0.005,28.232333333333333,2,0,20.0,1,-0.5
diu,gujarat,2024.0,5.0,5.44,0.1754838709677419,29.623548387096776,2,0,20.0,1,-0.0005695812807893
diu,gujarat,2024.0,6.0,117.48,3.916,30.45,2,0,20.0,1,0.0076231527093604
diu,gujarat,2024.0,7.0,310.67,10.021612903225806,28.84935483870968,2,0,20.0,1,9.71384523809524
diu,gujarat,2024.0,8.0,333.7,10.764516129032256,27.95258064516129,2,0,20.0,1,7.418389784946236
diu,gujarat,2024.0,9.0,133.34,4.4446666666666665,27.96033333333333,2,0,20.0,1,0.1319521690767517
diu,gujarat,2024.0,10.0,84.58,2.7283870967741937,28.82225806451613,2,0,20.0,1,-0.328508620689655
diu,gujarat,2024.0,11.0,0.0,0.0,27.274,2,0,20.0,1,-2.209295871559633
diu,gujarat,2024.0,12.0,0.04,0.0012903225806451,23.426129032258064,2,0,20.0,1,-3.116999582985821
diu,gujarat,2025.0,1.0,0.05,0.0016129032258064,23.437419354838703,2,0,20.0,1,-2.628364381520118
diu,gujarat,2025.0,2.0,0.0,0.0,25.1425,2,0,20.0,1,-2.094411592505855
