district,state,year,month,rain_total,rain_avg,temp_avg,soil,urban,well_depth,aquifer_type,gw_delta,gw_delta_lag1,gw_delta_lag2,rain_total_lag1,rain_total_lag2,temp_avg_lag1
Agra,uttar pradesh,2024.0,5.0,1.06,0.0341935483870967,36.8316129032258,1,1,117.0,1,-0.7179766129032252,-0.4039508064516148,-0.7537856614382967,8.62,22.94,31.70266666666667
Agra,uttar pradesh,2024.0,6.0,105.16,3.505333333333333,37.936,1,1,117.0,1,1.2331932795698926,-0.7179766129032252,-0.4039508064516148,1.06,8.62,36.8316129032258
Agra,uttar pradesh,2024.0,7.0,299.42,9.658709677419356,30.567419354838712,1,1,117.0,1,2.0179196236559136,1.2331932795698926,-0.7179766129032252,105.16,1.06,37.936
Agra,uttar pradesh,2024.0,8.0,270.97,8.740967741935485,28.49290322580645,1,1,117.0,1,2.678806451612904,2.0179196236559136,1.2331932795698926,299.42,105.16,30.567419354838712
Agra,uttar pradesh,2024.0,9.0,273.57,9.119,27.918333333333333,1,1,117.0,1,-0.0062594086021512,2.678806451612904,2.0179196236559136,270.97,299.42,28.49290322580645
Agra,uttar pradesh,2024.0,10.0,2.5,0.0806451612903225,25.62322580645161,1,1,117.0,1,-0.1604422043010736,-0.0062594086021512,2.678806451612904,273.57,270.97,27.918333333333333
Agra,uttar pradesh,2024.0,11.0,0.0,0.0,20.50733333333333,1,1,117.0,1,-2.4099577956989258,-0.1604422043010736,-0.0062594086021512,2.5,273.57,25.62322580645161
Agra,uttar pradesh,2024.0,12.0,12.7,0.4096774193548387,15.195806451612905,1,1,117.0,1,-0.3056712365591423,-2.4099577956989258,-0.1604422043010736,0.0,2.5,20.50733333333333
Agra,uttar pradesh,2025.0,1.0,3.27,0.1054838709677419,15.007741935483873,1,1,117.0,1,-0.6187822580645133,-0.3056712365591423,-2.4099577956989258,12.7,0.0,15.195806451612905
Agra,uttar pradesh,2025.0,2.0,4.98,0.1778571428571428,19.565,1,1,117.0,1,-1.3074173387096764,-0.6187822580645133,-0.3056712365591423,3.27,12.7,15.007741935483873
Agra,uttar pradesh,2025.0,3.0,2.62,0.084516129032258,25.392258064516128,1,1,117.0,1,-0.3604939516129022,-1.3074173387096764,-0.6187822580645133,4.98,3.27,19.565
Agra,uttar pradesh,2025.0,4.0,2.64,0.088,31.990333333333336,1,1,117.0,1,0.1251064516129005,-0.3604939516129022,-1.3074173387096764,2.62,4.98,25.392258064516128
Agra,uttar pradesh,2025.0,5.0,24.37,0.7861290322580645,34.75387096774193,1,1,117.0,1,-0.6011629032258057,0.1251064516129005,-0.3604939516129022,2.64,2.62,31.990333333333336
Agra,uttar pradesh,2025.0,6.0,207.66,6.922,34.123,1,1,117.0,1,0.6870712365591416,-0.6011629032258057,0.1251064516129005,24.37,2.64,34.75387096774193
Agra,uttar pradesh,2025.0,7.0,352.43,11.368709677419355,29.075483870967744,1,1,117.0,1,3.6727916666666616,0.6870712365591416,-0.6011629032258057,207.66,24.37,34.123
Agra,uttar pradesh,2025.0,8.0,189.05,6.098387096774194,28.279032258064515,1,1,117.0,1,1.7992763157894736,3.6727916666666616,0.6870712365591416,352.43,207.66,29.075483870967744
Agra,uttar pradesh,2025.0,9.0,239.78,7.992666666666667,27.520333333333333,1,1,117.0,1,0.0427699805068257,1.7992763157894736,3.6727916666666616,189.05,352.43,28.279032258064515
Agra,uttar pradesh,2025.0,10.0,47.11,1.5196774193548388,23.720322580645163,1,1,117.0,1,-1.5158508417508436,0.0427699805068257,1.7992763157894736,239.78,189.05,27.520333333333333
Agra,uttar pradesh,2025.0,11.0,0.43,0.0143333333333333,17.788,1,1,117.0,1,0.1081545454545462,-1.5158508417508436,0.0427699805068257,47.11,239.78,23.720322580645163
Ajmer,rajasthan,2023.0,9.0,68.85,2.295,28.511000000000003,1,1,100.0,1,-0.2302116402116403,9.917464387464388,0.0644615384615381,9.77,246.99,27.16032258064516
Ajmer,rajasthan,2023.0,10.0,5.45,0.1758064516129032,25.820967741935487,1,1,100.0,1,-0.3575726927939318,-0.2302116402116403,9.917464387464388,68.85,9.77,28.511000000000003
Ajmer,rajasthan,2023.0,11.0,9.55,0.3183333333333333,21.736,1,1,100.0,1,-0.2406194690265488,-0.3575726927939318,-0.2302116402116403,5.45,68.85,25.820967741935487
Ajmer,rajasthan,2023.0,12.0,4.97,0.1603225806451612,17.301612903225806,1,1,100.0,1,-0.1796887905604718,-0.2406194690265488,-0.3575726927939318,9.55,5.45,21.736
Ajmer,rajasthan,2024.0,1.0,0.3,0.0096774193548387,15.153870967741934,1,1,100.0,1,-0.2794166666666662,-0.1796887905604718,-0.2406194690265488,4.97,9.55,17.301612903225806
Ajmer,rajasthan,2024.0,2.0,9.41,0.3244827586206896,18.00172413793103,1,1,100.0,1,-0.5581580459770121,-0.2794166666666662,-0.1796887905604718,0.3,4.97,15.153870967741934
Ajmer,rajasthan,2024.0,3.0,2.22,0.0716129032258064,24.18516129032258,1,1,100.0,1,-0.5515086206896553,-0.5581580459770121,-0.2794166666666662,9.41,0.3,18.00172413793103
Ajmer,rajasthan,2024.0,4.0,8.99,0.2996666666666667,29.841666666666665,1,1,100.0,1,-0.5826785714285707,-0.5515086206896553,-0.5581580459770121,2.22,9.41,24.18516129032258
Ajmer,rajasthan,2024.0,5.0,5.31,0.1712903225806451,35.832580645161286,1,1,100.0,1,-0.6483128078817737,-0.5826785714285707,-0.5515086206896553,8.99,2.22,29.841666666666665
Ajmer,rajasthan,2024.0,6.0,74.85,2.495,34.983333333333334,1,1,100.0,1,-0.981151477832512,-0.6483128078817737,-0.5826785714285707,5.31,8.99,35.832580645161286
Ajmer,rajasthan,2024.0,7.0,127.71,4.119677419354839,31.40774193548387,1,1,100.0,1,0.7020595238095231,-0.981151477832512,-0.6483128078817737,74.85,5.31,34.983333333333334
Ajmer,rajasthan,2024.0,8.0,336.69,10.860967741935484,27.49870967741936,1,1,100.0,1,3.112798850574713,0.7020595238095231,-0.981151477832512,127.71,74.85,31.40774193548387
Ajmer,rajasthan,2024.0,9.0,123.38,4.112666666666667,27.41633333333333,1,1,100.0,1,1.3168965517241378,3.112798850574713,0.7020595238095231,336.69,127.71,27.49870967741936
Ajmer,rajasthan,2024.0,10.0,6.29,0.2029032258064516,26.416774193548385,1,1,100.0,1,-0.2544454022988507,1.3168965517241378,3.112798850574713,123.38,336.69,27.41633333333333
Ajmer,rajasthan,2024.0,11.0,0.0,0.0,22.128,1,1,100.0,1,-0.2367879537953792,-0.2544454022988507,1.3168965517241378,6.29,123.38,26.416774193548385
Ajmer,rajasthan,2024.0,12.0,10.98,0.3541935483870967,15.561935483870968,1,1,100.0,1,-0.1395200172191137,-0.2367879537953792,-0.2544454022988507,0.0,6.29,22.128
Ajmer,rajasthan,2025.0,1.0,3.69,0.1190322580645161,15.857096774193549,1,1,100.0,1,-0.0820349251603702,-0.1395200172191137,-0.2367879537953792,10.98,0.0,15.561935483870968
Ajmer,rajasthan,2025.0,2.0,2.39,0.0853571428571428,20.488571428571426,1,1,100.0,1,-0.2120499609679935,-0.0820349251603702,-0.1395200172191137,3.69,10.98,15.857096774193549
Ajmer,rajasthan,2025.0,3.0,1.26,0.0406451612903225,25.42322580645161,1,1,100.0,1,-0.2665319396051102,-0.2120499609679935,-0.0820349251603702,2.39,3.69,20.488571428571426
Ajmer,rajasthan,2025.0,4.0,1.84,0.0613333333333333,32.085,1,1,100.0,1,-0.3703539388842167,-0.2665319396051102,-0.2120499609679935,1.26,2.39,25.42322580645161
Ajmer,rajasthan,2025.0,5.0,41.07,1.3248387096774197,34.230322580645165,1,1,100.0,1,-0.3333045977011499,-0.3703539388842167,-0.2665319396051102,1.84,1.26,32.085
Ajmer,rajasthan,2025.0,6.0,119.52,3.984,33.01133333333333,1,1,100.0,1,-0.285333333333333,-0.3333045977011499,-0.3703539388842167,41.07,1.84,34.230322580645165
Ajmer,rajasthan,2025.0,7.0,328.11,10.584193548387097,28.256129032258062,1,1,100.0,1,1.3860322580645166,-0.285333333333333,-0.3333045977011499,119.52,41.07,33.01133333333333
Ajmer,rajasthan,2025.0,8.0,189.69,6.119032258064516,27.465806451612902,1,1,100.0,1,0.5782258064516128,1.3860322580645166,-0.285333333333333,328.11,119.52,28.256129032258062
Ajmer,rajasthan,2025.0,9.0,132.07999999999998,4.402666666666666,26.34733333333333,1,1,100.0,1,-0.1691042183622833,0.5782258064516128,1.3860322580645166,189.69,328.11,27.465806451612902
Ajmer,rajasthan,2025.0,10.0,52.71,1.7003225806451614,23.4158064516129,1,1,100.0,1,-0.0049574175824176,-0.1691042183622833,0.5782258064516128,132.07999999999998,189.69,26.34733333333333
Ajmer,rajasthan,2025.0,11.0,10.93,0.3643333333333333,19.044666666666668,1,1,100.0,1,0.0028235714285713,-0.0049574175824176,-0.1691042183622833,52.71,132.07999999999998,23.4158064516129
Ajmer,rajasthan,2025.0,12.0,0.99,0.0319354838709677,17.101935483870967,1,1,100.0,1,0.6009800000000003,0.0028235714285713,-0.0049574175824176,10.93,52.71,19.044666666666668
Aligarh,uttar pradesh,2024.0,5.0,4.56,0.1470967741935483,36.10935483870968,1,0,271.0,3,-0.2946819892473087,-0.1727615591397864,-0.235846774193547,3.96,23.51,31.15833333333333
Aligarh,uttar pradesh,2024.0,6.0,98.57,3.2856666666666667,37.73966666666667,1,0,271.0,3,-0.3797013440860226,-0.2946819892473087,-0.1727615591397864,4.56,3.96,36.10935483870968
Aligarh,uttar pradesh,2024.0,7.0,235.92,7.610322580645162,30.35741935483871,1,0,271.0,3,-1.169992204301078,-0.3797013440860226,-0.2946819892473087,98.57,4.56,37.73966666666667
Aligarh,uttar pradesh,2024.0,8.0,181.17,5.844193548387096,28.526129032258066,1,0,271.0,3,-1.3306612903225776,-1.169992204301078,-0.3797013440860226,235.92,98.57,30.35741935483871
Aligarh,uttar pradesh,2024.0,9.0,275.94,9.198,27.90533333333333,1,0,271.0,3,0.8971951612903197,-1.3306612903225776,-1.169992204301078,181.17,235.92,28.526129032258066
Aligarh,uttar pradesh,2024.0,10.0,0.43,0.0138709677419354,25.120967741935484,1,0,271.0,3,0.9667080645161334,0.8971951612903197,-1.3306612903225776,275.94,181.17,27.90533333333333
Aligarh,uttar pradesh,2024.0,11.0,0.0,0.0,20.449,1,0,271.0,3,-0.3114747311827983,0.9667080645161334,0.8971951612903197,0.43,275.94,25.120967741935484
